Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,X10,CIK
DDD,3D Systems Corporation,10.15,1155701898.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,NA,910638
MMM,3M Company,236.67,140936985e3,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,NA,66740
WBAI,500.com Limited,15.64,638193609.52,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,NA,1517496
WUBA,58.com Inc.,78.26,11465883712.92,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,NA,1525494
EGHT,8x8 Inc,18.5,1705007045.5,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,NA,1023731
AHC,A.H. Belo Corporation,5.25,114204121.5,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,NA,1413898
ATEN,"A10 Networks, Inc.",6.35,449271707.5,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,NA,1580808
AAC,"AAC Holdings, Inc.",8.32,199667245.44,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,NA,1606180
AIR,AAR Corp.,42.5,1475998352.5,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,NA,1750
AAN,"Aaron&#39;s,  Inc.",43.4,3149898263.4,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,NA,706688
ABB,ABB Ltd,25.42,54257758731.46,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,NA,1091587
ABT,Abbott Laboratories,60.17,104731943336.79,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,NA,1800
ABBV,AbbVie Inc.,118.6,189336567164,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,NA,1551152
ANF,Abercrombie & Fitch Company,21.92,1492790798.4,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,NA,1018840
GCH,"Aberdeen Greater China Fund, Inc.",13.12,115676337.28,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/gch,NA,NA
